news_id,source,title,link,published_at,summary,content,category,image_url,fetched_at
b9668b052a418d7f,Tatoli,"SEFOPE rejista remesa husi traballadór timoroan iha Korea hamutuk $376.790,00",https://tatoli.tl/2026/08/31/sefope-rejista-remesa-husi-traballador-timoroan-iha-korea-hamutuk-376-79000/,2026-08-31T04:53:40,"DILI, 31 Agostu 2026 (TATOLI)—Sekretáriu Estadu Formasaun Profisionál no Empregu (SEFOPE) liuhusi Diresaun Nasionál Empregu Estranjeiru (DNEE) rejista remesa husi traballadór timoroan ne&#8217;ebé servisu iha Korea Súl iha tinan 2026 ne’e hamutuk $376.790,00 Diretór Diresaun Nasionál Emoregu Estranjeiru, João Correia Pereira, iha trimestre dahuluk no daruak ne’e traballadór timoroan sira-ne’ebé servisu iha Korea. &#8220;Totál remesa ... 
 The post  SEFOPE rejista remesa husi traballadór timoroan iha Korea hamutuk $376.790,00  appeared first on  TATOLI Agência Noticiosa de Timor-Leste .",,,,2026-08-31T14:44:54.039034
59a4399fc39fb7c6,Tatoli,Venezuela anunsia akordu petrolíferu ho EUA vigora durante tinan 25,https://tatoli.tl/2026/08/31/venezuela-anunsia-akordu-petroliferu-ho-eua-vigora-durante-tinan-25/,2026-08-31T04:42:42,"DILI, 31 Agostu 2026 (TATOLI) – Prezidente interinu Venezuela nian, Delcy Rodriguez, fó-sai katak, akordu ida kona-ba petróleu ne&#8217;ebé hetan ho EUA sei vigora nafatin durante tinan 25 no hakarak aumenta produsaun petróleu loron-loron nasaun nian ba liu barríl millaun 1,5. Bainhira ko&#8217;alia ba emizora ​​estatál VTV, iha loron-sábadu, Rodriguez komenta kona-ba saida maka nia ... 
 The post  Venezuela anunsia akordu petrolíferu ho EUA vigora durante tinan 25  appeared first on  TATOLI Agência Noticiosa de Timor-Leste .",,,,2026-08-31T14:44:54.039034
5647fcd5cd5d0ad7,Tatoli,Tinan 2026: SEFOPE mobiliza ona traballadór timoroan ba rai-li’ur hamutuk 3.600,https://tatoli.tl/2026/08/31/sefopetraballador-timoroab/,2026-08-31T04:10:20,"DILI, 31 Agostu 2026 (TATOLI)—Sekretáriu Estadu Formasaun Profisionál no Empregu (SEFOPE) liuhusi Diresaun Nasionál Empregu Estranjeiru (DNEE) konsege mobiliza ona traballadór timoroan ba servisu iha Japaun, Korea Súl, Austrália no Nova zélandia iha tinan 2026 hamutuk 3.600. Traballadór timoroan hirak ne’e kompostu husi traballadór timoroan sira servisu iha Korea Súl hamutuk na&#8217;in-436, Austrália hamutuk na’in-3.116, ... 
 The post  Tinan 2026: SEFOPE mobiliza ona traballadór timoroan ba rai-li&#8217;ur hamutuk 3.600  appeared first on  TATOLI Agência Noticiosa de Timor-Leste .",,,,2026-08-31T14:44:54.039034
e63c26b7a14ca0a9,Tatoli,TL-EAU diskute kooperasaun bilaterál iha área saúde no Jestaun Inundasaun,https://tatoli.tl/2026/08/31/tl-eau-diskute-kooperasaun-bilateral-iha-area-saude-no-jestaun-inundasaun/,2026-08-31T03:54:33,"DILI, 31 Agostu 2026 (TATOLI)–Ministra Estadu iha Ministériu Negósiu Estranjeiru Emiradu Árabe Unids (EAU), Noura Al Kaabi, segunda ne&#8217;e, hasoru malu ho Prezidente Repúblika, José Ramos-Horta hodi diskute kooperasaun bilaterál iha área saúde no jestaun inundasaun. Iha enkontru ne&#8217;e, Ministra Noura hato&#8217;o mós kumprimentu husi lideransa EAU ba Xefe Estadu no povu Timor-Leste. &#8220;Ha&#8217;u mai ... 
 The post  TL-EAU diskute kooperasaun bilaterál iha área saúde no Jestaun Inundasaun  appeared first on  TATOLI Agência Noticiosa de Timor-Leste .",,,,2026-08-31T14:44:54.039034
46720389e39f7910,Tatoli,SECoop prepara kuda Bafo Kayrala substitui hahan seluk iha bailoro naruk,https://tatoli.tl/2026/08/31/secoop-prepara-kuda-bafo-kayrala-substitui-hahan-seluk-iha-bailoro-naruk/,2026-08-31T03:42:09,"DILI. 31 Agostu 2026 (TATOLI)—Sekretáriu Estadu Kooperativa (SECoop, sigla portugés), Arsénio Pereira, hateten ho mudansa klimátika bailoro naruk (elnino) ne’e sei fó impaktu ba buat hotu liuliu produsaun aihán, tanba ne&#8217;e sira prepara kuda Bafo Kayrala hodi substitui hahán seluk iha tempu bailoro naruk. &#8220;Ha&#8217;u hanoin buat ida fenomena natureza ne&#8217;e ninia efeitu la&#8217;ós de&#8217;it ... 
 The post  SECoop prepara kuda Bafo Kayrala substitui hahan seluk iha bailoro naruk  appeared first on  TATOLI Agência Noticiosa de Timor-Leste .",,,,2026-08-31T14:44:54.039034
add2299ca3bb0294,Tatoli,PNTL hatún efetivu rihun-ida asegura transladasaun restu mortál Bispu na’in-tolu,https://tatoli.tl/2026/08/31/pntl-hatun-efetivu-rihun-ida-asegura-seguransa-ba-serimonia-transladasaun-restu-mortal-bispu-nain-tolu/,2026-08-31T02:49:47,"DILI, 31 Agustu 2026 (TATOLI) –  Komandante PNTL Munisípiu Dili, Komisáriu Asisténte Polísia Orlando Gomes, fó-sai katak, komandu prepara efetivu rihun-ida asegura serimónia transladasaun Amu Bispu na’in-tolu husi rai li&#8217;ur mai Timor -Leste. Amu na&#8217;in-tolu nia restu mortál mak hanesan Dom Jaime Garcia Goulart, Bispu Dom Joaquim Ribeiro no Monseñor Martinho Costa Lopes sei to’o ... 
 The post  PNTL hatún efetivu rihun-ida asegura transladasaun restu mortál Bispu na’in-tolu  appeared first on  TATOLI Agência Noticiosa de Timor-Leste .",,,,2026-08-31T14:44:54.039034
66e534b4d3c793a9,Tatoli,Loron Konsulta Populár “Pinta raan ba Ukun-Rasik-An”,https://tatoli.tl/2026/08/30/loron-konsulta-popular-pinta-raan-ba-ukun-rasik-an/,2026-08-30T02:27:28,"“Iha loron bé temi nafatin. Sira moris iha memória enkuadra ho istória família, prezerva iha orasaun no pasa hosi jerasaun ida ba jerasaun tuirmai.” OPINIAUN ida-ne’e direitu hakerek-na&#8217;in nia hanoin pesoál no la reprezenta hanoin hosi instituisaun ne’ebé ha’u serbisu ba. Artigu ida ne’e dedika espesifiku hanesan sinal gratidaun no respeitu klean ba saudozu no ... 
 The post  Loron Konsulta Populár “Pinta raan ba Ukun-Rasik-An”  appeared first on  TATOLI Agência Noticiosa de Timor-Leste .",,,,2026-08-31T14:44:54.039034
68eb1ec81ad36a83,Tatoli,"PM Xanana vizita CTC Bali, hametin protesaun biodiversidade mariña",https://tatoli.tl/2026/08/30/pm-xanana-vizita-ctc-bali-hametin-protesaun-biodiversidade-marina/,2026-08-30T01:37:59,"DILI, 30 agostu 2026 (TATOLI) – Primeiru-Ministru (PM) Kay Rala Xanana Gusmão sesta ne&#8217;e vizita Coral Triangle Center (CTC) iha Sanur, Bali, Indonézia hodi haree diretamente programa no servisu konservasaun mariña. Iha vizita ne&#8217;e, PM Xanana foku ba protesaun biodiversidade no jestaun rekursu tasi ne&#8217;ebé sustentável. PM Xanana konsidera tasi no rekursu mariña la’ós de&#8217;it ... 
 The post  PM Xanana vizita CTC Bali, hametin protesaun biodiversidade mariña  appeared first on  TATOLI Agência Noticiosa de Timor-Leste .",,,,2026-08-31T14:44:54.039034
4ab7efe3979fb52a,Tatoli,PM Xanana simu restu mortál bispu na’in-tolu iha Bali no 1 setembru to’o Dili,https://tatoli.tl/2026/08/30/pm-xanana-simu-restu-mortal-bispu-nain-tolu-iha-bali-no-aban-too-dili/,2026-08-30T01:27:04,"DILI, 30 Agostu 2026 (TATOLI) — Primeiru-Ministru (PM), Kay Rala Xanana Gusmão, sábadu ne’e ofisialmente simu restu mortál Bispu Timoroan na’in-tolu, mak hanesan Bispu Dom Jaime Garcia Goulart, Bispu Dom José Joaquim Ribeiro no Monseñor Martinho da Costa Lopes, iha Aeroportu Internasionál Ngurah Rai, Bali, Indonézia no Loron 1 fulan-setembru tinan 2026 – preladu sira-nia ... 
 The post  PM Xanana simu restu mortál bispu na’in-tolu iha Bali no 1 setembru to’o Dili  appeared first on  TATOLI Agência Noticiosa de Timor-Leste .",,,,2026-08-31T14:44:54.039034
7acd1309dafdc210,Tatoli,Tinan 27 Konsulta Populár: Salvaguarda liberdade no unidade ho responsabilidade,https://tatoli.tl/2026/08/30/tinan-27-konsulta-popular-salvaguarda-liberdade-no-unidade-ho-responsabilidade/,2026-08-30T00:44:42,"DILI, 30 Agostu 2026 (TATOLI) — Tinan ruanulu-resin-hitu liu tiha ona dezde Konsulta Populár iha loron 30 Agostu 1999. Loron istóriku ne’e marka istória ida tanba povu determina futuru liuhosi prosesu ida ne’ebé loke dalan ba Timor-Leste nia independénsia. Rezultadu hosi luta ne’e moris hosi unidade, korajen, sakrifísiu no esperansa ne’ebé povu mantein durante tinan ... 
 The post  Tinan 27 Konsulta Populár: Salvaguarda liberdade no unidade ho responsabilidade  appeared first on  TATOLI Agência Noticiosa de Timor-Leste .",,,,2026-08-31T14:44:54.039034
